"","test_freq","delay","sensitivity","sens_multiplier","R0","R0_base","R0.upper","R0.lower","R0.Q3","R0.Q1"
"1",1,0,"perfect",1,0.78254678938587,1.5,0.7853323103031,0.779761268468641,0.668928140930543,0.944493849086676
"2",2,0,"perfect",1,0.800075620761503,1.5,0.802701505070574,0.79744973645243,0.705490669312314,0.947771988170346
"3",3,0,"perfect",1,0.812665230123666,1.5,0.815207503786131,0.810122956461201,0.70836915089582,0.951466840011021
"4",4,0,"perfect",1,0.838157514227882,1.5,0.840745366718484,0.835569661737278,0.760555982529378,0.96935721945305
"5",5,0,"perfect",1,0.862396317856722,1.5,0.86480977633767,0.859982859375772,0.781659685183849,0.987701627110564
"6",7,0,"perfect",1,0.929066956092774,1.5,0.931420326443256,0.926713585742292,0.862010239582148,1.04740859959426
"7",10,0,"perfect",1,1.00490662240199,1.5,1.00716435707516,1.00264888772883,0.932022267315483,1.11841306022554
"8",15,0,"perfect",1,1.18939202189498,1.5,1.1912601598995,1.18752388389045,1.1390511753743,1.27381334568271
"9",20,0,"perfect",1,1.1818995567423,1.5,1.18394284399987,1.17985626948474,1.11526651760843,1.27926717071358
"10",25,0,"perfect",1,1.1841856202777,1.5,1.18615051941161,1.1822207211438,1.10524164329747,1.27956904425742
"11",30,0,"perfect",1,1.28147925328456,1.5,1.28289954696259,1.28005895960652,1.215728264065,1.35197618890437
"12",1,1,"random",1,0.765115310888897,1.5,0.767660150423433,0.76257047135436,0.646726819048053,0.91725931530363
"13",2,1,"random",1,0.853730316071583,1.5,0.856051328826646,0.851409303316518,0.767339573205832,0.980355201898713
"14",3,1,"random",1,0.932736141304235,1.5,0.934928546861968,0.930543735746499,0.847273324878518,1.04700611776063
"15",4,1,"random",1,1.01760239592264,1.5,1.01981367067175,1.01539112117353,0.95703808363315,1.13148018738817
"16",5,1,"random",1,1.09076789704271,1.5,1.09293891879245,1.08859687529297,1.02168773229052,1.19520427700865
"17",7,1,"random",1,1.19678022654088,1.5,1.19871164771697,1.1948488053648,1.14161708524427,1.29751972957488
"18",10,1,"random",1,1.31399159635419,1.5,1.31554312932882,1.31244006337956,1.27833218531279,1.37848137915697
"19",15,1,"random",1,1.40699369297556,1.5,1.40793358718483,1.40605379876629,1.36868287341717,1.44505597077795
"20",20,1,"random",1,1.43199755227558,1.5,1.43292952659463,1.43106557795653,1.3941443151016,1.4710980712074
"21",25,1,"random",1,1.44558852219475,1.5,1.44651328042914,1.44466376396036,1.40866336057033,1.48296389365369
"22",30,1,"random",1,1.45929246268424,1.5,1.46016344049276,1.45842148487572,1.42409379725115,1.49694602436206
"23",1,3,"random",1,0.924275491013598,1.5,0.926532340125184,0.922018641902012,0.843659749979868,1.03660582911858
"24",2,3,"random",1,1.05079397822183,1.5,1.05293881439976,1.0486491420439,0.965596067369654,1.16495609894998
"25",3,3,"random",1,1.11315902042262,1.5,1.11536199065649,1.11095605018876,1.04049208480345,1.21694349998826
"26",4,3,"random",1,1.18966080211235,1.5,1.19179414422406,1.18752746000065,1.11495185636694,1.30520120130794
"27",5,3,"random",1,1.24412271897004,1.5,1.24599750455766,1.24224793338243,1.18302624526693,1.34138145002874
"28",7,3,"random",1,1.33478626521664,1.5,1.33635495807655,1.33321757235673,1.28710674557691,1.40703623749502
"29",10,3,"random",1,1.41660179655015,1.5,1.41760346344435,1.41560012965594,1.3788892706253,1.46355134124887
"30",15,3,"random",1,1.45355975232806,1.5,1.45442244344985,1.45269706120627,1.42121099255709,1.48816023594036
"31",20,3,"random",1,1.46595794844042,1.5,1.46678740999219,1.46512848688865,1.43339995561641,1.49790855466972
"32",25,3,"random",1,1.47331063470527,1.5,1.4741487363628,1.47247253304773,1.44216254397556,1.5
"33",30,3,"random",1,1.47848471474234,1.5,1.47933878766164,1.47763064182303,1.44348052771293,1.5
"34",1,5,"random",1,1.1224441129312,1.5,1.12488366484799,1.1200045610144,1.04695895297349,1.24872696419748
"35",2,5,"random",1,1.21990884324494,1.5,1.22191083364783,1.21790685284205,1.15620735077378,1.32281792253512
"36",3,5,"random",1,1.27169451401259,1.5,1.2737720430599,1.26961698496527,1.21312377833224,1.3740636675554
"37",4,5,"random",1,1.3232306437745,1.5,1.32478941585127,1.32167187169773,1.26911353554727,1.4015686272774
"38",5,5,"random",1,1.36404027759555,1.5,1.36536730768811,1.36271324750299,1.31653517305367,1.42883430962635
"39",7,5,"random",1,1.42005517008505,1.5,1.42120340690201,1.4189069332681,1.38163787669863,1.4765775056894
"40",10,5,"random",1,1.4552473069867,1.5,1.45612061929544,1.45437399467795,1.41866226104149,1.4920556495197
"41",15,5,"random",1,1.4719560808924,1.5,1.47275127690532,1.47116088487947,1.44215151986289,1.5
"42",20,5,"random",1,1.48288824375717,1.5,1.48368037737691,1.48209611013743,1.44910205313925,1.5
"43",25,5,"random",1,1.48735655637452,1.5,1.48814994832347,1.48656316442557,1.45922631228153,1.5
"44",30,5,"random",1,1.484783047573,1.5,1.48557088090287,1.48399521424313,1.45356889976166,1.5
"45",1,1,"random",1,1.11810656541593,2,1.12078838294517,1.1154247478867,1.00349176315056,1.26321679777518
"46",2,1,"random",1,1.2385496778871,2,1.24081117378243,1.23628818199177,1.1611011634513,1.35335854762729
"47",3,1,"random",1,1.34962413514078,2,1.35170159684577,1.34754667343579,1.25607850297748,1.46231475898944
"48",4,1,"random",1,1.44029648051461,2,1.44262670676073,1.43796625426849,1.37032841833822,1.56342228924351
"49",5,1,"random",1,1.52120401536893,2,1.52326015506901,1.51914787566885,1.4306448972391,1.62874819605293
"50",7,1,"random",1,1.65956380035135,2,1.66147335359698,1.65765424710571,1.58145904761549,1.75780950545961
"51",10,1,"random",1,1.78241629418001,2,1.78400068450705,1.78083190385297,1.71817576676021,1.8627267862215
"52",15,1,"random",1,1.88533237383238,2,1.88660140358753,1.88406334407723,1.83051123189651,1.94236524244453
"53",20,1,"random",1,1.91397364234822,2,1.91519056190312,1.91275672279332,1.86067844136141,1.96666124520361
"54",25,1,"random",1,1.93461553262282,2,1.93586962769538,1.93336143755025,1.88257159525134,1.99235341373745
"55",30,1,"random",1,1.94554132333378,2,1.94671189634552,1.94437075032203,1.89428498414763,1.99686227504489
"56",1,1,"random",1,1.50886503596865,2.5,1.51167070322298,1.50605936871432,1.38931471054585,1.65649922466746
"57",2,1,"random",1,1.63554239421806,2.5,1.63816832512255,1.63291646331356,1.54077888410026,1.76200279807762
"58",3,1,"random",1,1.75793907971789,2.5,1.7604650372414,1.75541312219439,1.6805774897081,1.87908376997651
"59",4,1,"random",1,1.85340975524402,2.5,1.85600008320272,1.85081942728533,1.74502293720632,1.98915153530342
"60",5,1,"random",1,1.95004328623885,2.5,1.95248244202442,1.94760413045328,1.85621490143471,2.06096547674496
"61",7,1,"random",1,2.09758823948079,2.5,2.09986175658937,2.0953147223722,2.01364969823381,2.20690269062574
"62",10,1,"random",1,2.23705709627481,2.5,2.23904881834696,2.23506537420266,2.16404383946819,2.31966149389281
"63",15,1,"random",1,2.35953907446591,2.5,2.36115251774335,2.35792563118846,2.301282184896,2.42342535900219
"64",20,1,"random",1,2.39405750098906,2.5,2.39567633879345,2.39243866318467,2.33281708087486,2.45653642685757
"65",25,1,"random",1,2.42187617232732,2.5,2.42348086628539,2.42027147836925,2.35646984982539,2.49359895374984
"66",30,1,"random",1,2.43676418879767,2.5,2.43830847168868,2.43521990590667,2.38026600052046,2.49716292115565
